Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
538,962,1709,1.33
539,951,1712,1.33
540,932,1715,1.33
541,896,1703,1.33
542,905,1699,1.33
543,943,1711,1.33
544,965,1701,1.47
545,953,1715,1.33
546,901,1697,1.33
547,905,1718,1.33
548,904,1712,1.33
549,951,1701,1.33
550,970,1709,1.33
551,936,1707,1.33
552,913,1716,1.33
553,900,1709,1.33
554,898,1699,1.47
555,942,1707,1.33
556,966,1708,1.33
557,962,1721,1.33
558,950,1712,1.33
559,894,1707,1.33
560,936,1706,1.33
561,909,1716,1.33
562,915,1712,1.33
563,925,1700,1.33
564,911,1710,1.47
565,923,1707,1.33
566,896,1706,1.33
567,914,1709,1.33
568,876,1707,1.33
569,911,1707,1.33
570,897,1715,1.33
571,912,1710,1.33
572,912,1697,1.47
573,933,1695,1.33
574,921,1694,1.33
575,912,1703,1.33
576,902,1707,1.33
577,928,1683,1.33
578,909,1695,1.33
579,880,1702,1.33
580,919,1702,1.33
581,890,1689,1.33
582,889,1710,1.47
583,912,1707,1.33
584,893,1708,1.33
585,882,1707,1.33
586,912,1699,1.33
587,894,1712,1.33
588,918,1691,1.33
589,877,1705,1.47
590,918,1700,1.33
591,890,1709,1.33
592,906,1696,1.33
593,881,1700,1.33
594,910,1685,1.33
595,910,1699,1.33
596,897,1701,1.33
597,919,1697,1.33
598,891,1702,1.33
599,899,1703,1.47
600,902,1697,1.33
601,912,1705,1.33
602,905,1696,1.33
603,901,1691,1.33
604,897,1693,1.33
605,903,1701,1.33
606,824,1718,1.33
607,919,1708,1.33
608,906,1712,1.33
609,896,1695,1.33
610,911,1695,1.47
611,910,1695,1.33
612,891,1699,1.33
613,903,1693,1.20
614,907,1691,1.33
615,889,1703,1.33
616,925,1701,1.33
617,901,1696,1.33
618,892,1707,1.33
619,909,1702,1.33
620,935,1702,1.47
621,890,1705,1.20
622,894,1703,1.47
623,913,1711,1.33
624,893,1706,1.33
625,891,1707,1.33
626,906,1691,1.33
627,894,1703,1.33
628,875,1699,1.33
629,880,1696,1.33
630,910,1696,1.33
631,909,1693,1.47
632,873,1699,1.33
633,897,1692,1.33
634,899,1687,1.33
635,880,1694,1.33
636,896,1693,1.33
637,891,1689,1.33
638,907,1684,1.33
639,863,1693,1.33
640,913,1680,1.20
641,881,1685,1.33
642,893,1700,1.33
643,871,1705,1.33
644,887,1691,1.33
645,841,1700,1.33
646,894,1685,1.33
647,902,1684,1.33
648,896,1689,1.33
649,898,1680,1.33
650,839,1705,1.33
651,907,1685,1.33
652,854,1697,1.47
653,877,1690,1.20
654,831,1702,1.47
655,903,1692,1.20
656,882,1697,1.47
657,879,1685,1.20
658,893,1701,1.33
659,883,1702,1.33
660,879,1703,1.33
661,850,1714,1.33
662,869,1702,1.33
663,890,1696,1.33
664,846,1695,1.33
665,843,1710,1.47
666,912,1689,1.33
667,863,1695,1.20
668,848,1702,1.33
669,830,1712,1.33
670,830,1702,1.47
671,852,1699,1.33
672,860,1693,1.20
673,873,1696,1.33
674,889,1691,1.47
675,898,1695,1.33
676,832,1710,1.33
677,893,1711,1.33
678,880,1699,1.33
679,897,1699,1.33
680,847,1716,1.33
681,880,1695,1.33
682,869,1707,1.33
683,903,1701,1.33
684,863,1710,1.33
685,849,1707,1.33
686,910,1696,1.33
687,816,1711,1.33
688,878,1698,1.33
689,882,1709,1.33
690,897,1711,1.33
691,871,1711,1.33
692,878,1712,1.33
693,871,1707,1.33
694,862,1702,1.33
695,816,1713,1.33
696,873,1699,1.47
697,885,1702,1.20
698,878,1707,1.33
699,896,1702,1.33
700,873,1690,1.33
701,880,1696,1.33
702,895,1686,1.33
703,850,1701,1.33
704,849,1710,1.33
705,886,1686,1.33
706,858,1689,1.33
707,879,1699,1.33
708,872,1707,1.33
709,853,1694,1.33
710,784,1713,1.33
711,850,1691,1.33
712,827,1697,1.47
713,880,1695,1.33
714,869,1694,1.33
715,880,1693,1.33
716,887,1706,1.20
717,866,1694,1.33
718,841,1698,1.33
719,875,1697,1.33
720,854,1711,1.33
721,879,1713,1.33
722,843,1712,1.33
723,857,1700,1.47
724,861,1701,1.33
725,885,1696,1.33
726,863,1706,1.33
727,869,1697,1.33
728,811,1703,1.33
729,878,1696,1.33
730,848,1699,1.33
731,816,1710,1.33
732,885,1693,1.33
733,869,1702,1.33
734,867,1689,1.33
735,871,1688,1.33
736,871,1703,1.33
737,871,1686,1.33
738,848,1702,1.33
739,885,1695,1.33
740,863,1696,1.20
741,851,1682,1.33
742,839,1702,1.33
743,865,1689,1.33
744,843,1693,1.33
745,874,1692,1.33
746,845,1697,1.33
747,844,1695,1.33
748,878,1686,1.33
749,881,1687,1.33
750,861,1681,1.20
751,864,1691,1.33
752,875,1687,1.33
753,870,1691,1.33
754,865,1695,1.33
755,853,1694,1.33
756,879,1685,1.33
757,880,1700,1.33
758,859,1696,1.33
759,867,1692,1.33
760,873,1694,1.33
761,864,1690,1.33
762,859,1697,1.33
763,855,1696,1.33
764,861,1690,1.33
765,846,1700,1.33
766,845,1701,1.33
767,867,1682,1.47
768,873,1682,1.33
769,878,1684,1.33
770,854,1685,1.33
771,887,1681,1.33
772,880,1686,1.33
773,881,1677,1.33
774,856,1683,1.33
775,873,1687,1.33
776,874,1695,1.33
777,884,1699,1.33
778,886,1690,1.33
779,914,1690,1.20
780,883,1691,1.33
781,907,1680,1.33
782,891,1681,1.33
783,892,1680,1.33
784,878,1691,1.33
785,908,1685,1.33
786,859,1695,1.33
787,892,1684,1.33
788,875,1696,1.33
789,910,1680,1.33
790,887,1687,1.47
791,893,1695,1.33
792,907,1691,1.33
793,894,1696,1.33
794,904,1689,1.33
795,942,1696,1.33
796,913,1684,1.33
797,929,1686,1.33
798,927,1685,1.33
799,905,1687,1.33
800,912,1688,1.33
801,923,1685,1.33
802,931,1689,1.33
803,910,1685,1.47
804,912,1683,1.33
805,911,1679,1.33
806,933,1680,1.33
807,924,1678,1.33
808,910,1681,1.33
809,919,1682,1.33
810,935,1687,1.33
811,908,1680,1.47
812,913,1685,1.33
813,938,1685,1.33
814,927,1680,1.33
815,925,1683,1.33
816,932,1683,1.33
817,947,1680,1.33
818,909,1686,1.33
819,937,1680,1.47
820,946,1684,1.33
821,926,1680,1.33
822,925,1686,1.33
823,929,1680,1.33
824,955,1679,1.33
825,935,1680,1.33
826,911,1682,1.47
827,940,1680,1.33
828,949,1676,1.47
829,944,1676,1.33
830,912,1682,1.33
831,950,1674,1.33
832,965,1660,1.33
833,915,1671,1.33
834,944,1667,1.47
835,929,1662,1.33
836,923,1671,1.33
837,959,1666,1.33
838,925,1661,1.33
839,944,1664,1.33
840,941,1661,1.33
841,927,1662,1.47
842,934,1663,1.33
843,947,1671,1.33
844,914,1682,1.33
845,938,1664,1.33
846,930,1680,1.33
847,923,1675,1.47
848,946,1680,1.33
849,922,1691,1.33
850,958,1680,1.33
851,960,1681,1.33
852,944,1683,1.33
853,960,1680,1.47
854,943,1673,1.33
855,957,1680,1.33
856,951,1691,1.33
857,929,1700,1.33
858,944,1686,1.47
859,951,1689,1.33
860,951,1683,1.33
861,962,1687,1.47
862,943,1697,1.33
863,944,1680,1.33
864,937,1686,1.47
865,962,1691,1.33
866,974,1685,1.33
867,944,1700,1.33
868,950,1687,1.33
869,955,1691,1.33
870,966,1693,1.47
871,961,1695,1.33
872,976,1685,1.33
873,993,1681,1.47
874,959,1687,1.33
875,971,1687,1.33
876,995,1679,1.33
877,989,1685,1.33
878,967,1674,1.33
879,1019,1680,1.47
880,1023,1679,1.33
881,984,1680,1.33
882,1005,1678,1.33
883,1023,1670,1.47
884,1058,1674,1.33
885,1023,1670,1.47
886,1091,1662,1.33
887,996,1664,1.33
888,1057,1666,1.33
889,1038,1665,1.47
890,1049,1655,1.33
891,1040,1655,1.47
892,1075,1648,1.33
893,1023,1661,1.33
894,1034,1648,1.33
895,1087,1649,1.47
896,1088,1654,1.33
897,1060,1661,1.33
898,1072,1662,1.33
899,1075,1665,1.33
900,1040,1660,1.33
901,1102,1651,1.47
902,1098,1648,1.33
903,1103,1650,1.33
904,1089,1651,1.47
905,1015,1665,1.33
906,1073,1666,1.33
907,1023,1664,1.33
908,1110,1648,1.33
909,1055,1648,1.47
910,1072,1642,1.33
911,1062,1651,1.47
912,1093,1659,1.33
913,1083,1668,1.33
914,1126,1656,1.47
915,1069,1659,1.33
916,1090,1653,1.33
917,1100,1655,1.33
918,1077,1664,1.47
919,1119,1664,1.33
920,1117,1657,1.33
921,1087,1661,1.33
922,1104,1659,1.33
923,1093,1659,1.33
924,1110,1650,1.47
925,1105,1651,1.33
926,1075,1665,1.33
927,1088,1665,1.33
928,1136,1648,1.47
929,1122,1653,1.33
930,1136,1653,1.33
931,1136,1655,1.33
932,1097,1649,1.33
933,1123,1657,1.33
934,1136,1649,1.33
935,1086,1655,1.33
936,1091,1648,1.33
937,1122,1650,1.47
938,1091,1658,1.33
939,1100,1666,1.33
940,1101,1648,1.47
941,1098,1653,1.33
942,1106,1646,1.33
943,1121,1648,1.33
944,1127,1648,1.33
945,1088,1655,1.47
946,1158,1637,1.33
947,1124,1645,1.33
948,1127,1646,1.33
949,1111,1635,1.33
950,1113,1643,1.33
951,1114,1632,1.33
952,1152,1646,1.47
953,1125,1643,1.33
954,1145,1643,1.33
955,1145,1637,1.33
956,1150,1648,1.33
957,1121,1641,1.33
958,1136,1638,1.33
959,1159,1643,1.33
960,1168,1642,1.47
961,1159,1648,1.33
962,1146,1648,1.33
963,1136,1643,1.33
964,1149,1646,1.33
965,1123,1646,1.33
966,1137,1636,1.33
967,1153,1638,1.47
968,1107,1647,1.33
969,1154,1642,1.33
970,1129,1643,1.33
971,1171,1637,1.33
972,1159,1635,1.47
973,1168,1637,1.33
974,1171,1639,1.33
975,1168,1642,1.33
976,1168,1633,1.33
977,1152,1645,1.47
978,1175,1647,1.33
979,1178,1639,1.33
980,1155,1646,1.33
981,1149,1648,1.33
982,1200,1637,1.33
983,1155,1642,1.33
984,1197,1643,1.33
985,1141,1657,1.33
986,1196,1648,1.33
987,1185,1641,1.47
988,1159,1648,1.20
989,1205,1639,1.33
990,1207,1630,1.33
991,1199,1642,1.33
992,1195,1638,1.33
993,1169,1642,1.33
994,1200,1637,1.33
995,1191,1630,1.33
996,1162,1633,1.33
997,1171,1643,1.33
998,1174,1629,1.33
999,1193,1632,1.33
1000,1190,1635,1.33
1001,1180,1639,1.33
1002,1177,1639,1.33
1003,1165,1639,1.33
1004,1183,1637,1.33
1005,1188,1648,1.33
1006,1194,1624,1.33
1007,1181,1631,1.33
1008,1187,1637,1.33
1009,1168,1648,1.33
1010,1220,1642,1.33
1011,1190,1625,1.47
1012,1163,1635,1.20
1013,1171,1636,1.33
1014,1142,1646,1.20
1015,1022,1679,1.20
1016,950,1683,1.20
1017,817,1693,1.20
1018,487,1779,1.20
1019,425,1801,1.07
1020,414,1809,1.20
1021,398,1825,1.20
1022,402,1821,1.20
1023,432,1856,1.07
1024,464,1851,1.20
1025,497,1847,1.20
1026,543,1860,1.20
1027,564,1856,1.20
1028,593,1866,1.07
1029,608,1863,1.20
1030,624,1854,1.20
1031,641,1861,1.20
1032,667,1859,1.20
1033,688,1872,1.07
1034,685,1868,1.20
1035,718,1855,1.20
1036,720,1866,1.20
1037,731,1870,1.20
1038,746,1870,1.07
1039,749,1869,1.20
1040,759,1865,1.20
1041,774,1852,1.20
1042,787,1869,1.07
1043,793,1871,1.20
1044,802,1866,1.20
1045,814,1872,1.07
1046,816,1873,1.20
1047,831,1869,1.20
1048,835,1872,1.20
1049,847,1877,1.20
1050,848,1873,0.93
1051,848,1879,1.07
1052,854,1871,0.93
1053,853,1889,0.93
1054,851,1789,1.07
1055,861,1840,0.93
1056,876,1840,0.93
1057,865,1833,0.93
1058,852,1815,1.07
1059,862,1822,0.93
1060,838,1811,0.93
1061,775,1812,0.93
1062,754,1805,0.93
1063,762,1812,0.93
1064,572,1802,0.93
1065,257,1767,0.93
1066,208,1734,0.93
1067,253,1758,0.93
1068,196,1792,0.93
1069,0,1793,0.80
1070,0,1809,0.93
1071,0,1808,0.93
1072,0,1808,0.93
1073,0,1802,0.93
1074,0,1808,0.80
1075,0,1796,0.80
1076,0,1807,0.80
1077,0,1802,0.80
1078,0,1787,0.67
1079,0,1785,0.80
1080,0,1795,0.80
1081,0,1802,0.80
1082,0,1804,0.80
1083,0,1786,0.67
1084,0,1792,0.80
1085,0,1794,0.80
1086,0,1794,0.80
1087,0,1775,0.80
1088,963,1751,1.07
1089,978,1642,1.20
1090,976,1639,1.20
1091,995,1792,1.33
1092,1008,1808,1.33
1093,1011,1808,1.20
1094,1010,1808,1.33
1095,1011,1818,1.33
1096,998,1837,1.33
1097,994,1839,1.33
1098,957,1829,1.33
1099,945,1811,1.33
1100,925,1803,1.33
1101,897,1757,1.33
1102,871,1759,1.47
1103,871,1754,1.33
1104,858,1749,1.33
1105,880,1730,1.33
1106,898,1722,1.33
1107,799,1866,0.93
1108,847,1850,0.93
1109,870,1849,0.93
1110,880,1857,0.80
1111,880,1776,0.80
1112,896,1760,0.67
1113,890,1808,0.67
1114,895,1807,0.53
1115,837,1809,0.53
1116,827,1809,0.40
1117,618,1816,0.27
1118,479,1821,0.13
1119,374,1823,0.00
1120,324,1827,0.00
1121,321,1823,0.00
1122,318,1819,0.00
1123,276,1827,0.00
1124,239,1837,0.00
1125,263,1843,0.00
1126,247,1836,0.00
1127,224,1835,0.00
1128,204,1840,0.00
1129,173,1842,0.00
1130,175,1850,0.00
1131,166,1841,0.00
1132,168,1842,0.00
1133,122,1840,0.00
1134,115,1845,0.00
1135,11,1845,0.00
1136,0,1842,0.00
1137,3,1843,0.00
1138,0,1839,0.00
1139,3,1842,0.00
1140,0,1845,0.00
1141,11,1846,0.00
1142,0,1851,0.00
1143,0,1843,0.00
1144,0,1843,0.00
1145,0,1845,0.00
1146,0,1846,0.00
1147,0,1842,0.00
1148,1,1841,0.00
1149,0,1848,0.00
1150,0,1852,0.00
1151,6,1843,0.00
1152,7,1839,0.00
1153,0,1840,0.00
1154,0,1850,0.00
1155,1,1840,0.00
