Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
454,1199,2647,0.13
455,1196,2803,0.27
456,1201,2594,0.13
457,1209,2373,0.13
458,1212,2434,0.13
459,1202,2477,0.13
460,1164,2474,0.13
461,1150,2799,0.13
462,1147,2626,0.13
463,1142,2585,0.27
464,1152,2513,0.27
465,1152,2608,0.27
466,1157,2707,0.40
467,1157,2602,0.27
468,1155,2529,0.13
469,1152,2521,0.00
470,1159,2655,0.00
471,1153,2650,0.00
472,1138,2602,0.00
473,1142,2528,0.00
474,1141,2511,0.40
475,1140,2487,0.53
476,1130,2432,0.80
477,1134,2385,0.93
478,1136,2384,0.93
479,1136,2383,0.80
480,1138,2490,0.93
481,1137,2416,0.93
482,1126,2480,1.07
483,1127,2506,0.93
484,1126,2528,1.07
485,1125,2439,1.07
486,1135,2768,1.20
487,1127,2796,1.07
488,1111,2798,1.20
489,1166,2789,1.20
490,1136,2740,1.07
491,1123,2719,1.07
492,1116,2705,1.20
493,1106,2703,1.07
494,1110,2769,1.20
495,1114,2802,1.07
496,1117,2831,0.93
497,1104,2845,0.80
498,1104,2817,0.80
499,1104,2786,0.80
500,1105,2782,0.53
501,1107,2765,0.80
502,1110,2353,0.67
503,1114,2348,0.67
504,1103,2333,0.80
505,1106,2365,0.67
506,1099,2341,0.67
507,1092,2467,0.53
508,1090,2481,0.53
509,1098,2359,0.53
510,1136,2381,0.40
511,1127,2433,0.53
512,1102,2471,0.40
513,1095,2557,0.40
514,1099,2557,0.40
515,1102,2583,0.40
516,1102,2609,0.40
517,1102,2623,0.40
518,1101,2642,0.27
519,1101,2652,0.40
520,1097,2647,0.27
521,1093,2657,0.27
522,1090,2701,0.27
523,1098,2718,0.27
524,1101,2698,0.27
525,1104,2690,0.27
526,1098,2585,0.27
527,1095,2559,0.13
528,1095,2400,0.13
529,1097,2364,0.13
530,1088,2451,0.13
531,1085,2611,0.13
532,1090,2359,0.00
533,1085,2353,0.13
534,1090,2350,0.13
535,1083,2372,0.13
536,1088,2398,0.00
537,1088,2487,0.00
538,1085,2342,0.00
539,1155,2330,0.00
540,1069,2305,0.00
541,1042,2559,0.00
542,1023,2715,0.00
543,1038,2710,0.00
544,1017,2768,0.00
545,1037,2827,0.00
546,1037,2851,0.00
547,1018,2850,0.00
548,1014,2887,0.00
549,1021,2798,0.00
550,1020,2762,0.00
551,1014,2768,0.00
552,1014,2719,0.13
553,1006,2768,0.13
554,1005,2753,0.00
555,998,2801,0.13
556,1007,2751,0.27
557,994,2761,0.13
558,1006,2751,0.13
559,1006,2758,0.13
560,992,2743,0.13
561,1003,2722,0.13
562,1013,2704,0.13
563,1006,2559,0.13
564,993,2617,0.13
565,979,2611,0.13
566,987,2592,0.13
567,992,2591,0.13
568,994,2667,0.13
569,982,2722,0.13
570,993,2752,0.00
571,983,2765,0.13
572,993,2779,0.13
573,985,2775,0.13
574,987,2702,0.27
575,979,2697,0.13
576,977,2707,0.13
577,973,2704,0.13
578,976,2723,0.27
579,976,2723,0.13
580,970,2725,0.27
581,976,2736,0.13
582,976,2736,0.27
583,976,2754,0.13
584,987,2761,0.27
585,1125,2783,0.13
586,1081,2771,0.27
587,1081,2745,0.13
588,1071,2752,0.27
589,1066,2740,0.13
590,1073,2763,0.27
591,1073,2752,0.27
592,1077,2753,0.13
593,1068,2768,0.27
594,1077,2745,0.27
595,1072,2801,0.27
596,1072,2882,0.27
597,1076,2898,0.27
598,1074,2918,0.13
599,1070,2941,0.27
600,1072,2930,0.27
601,1072,2963,0.27
602,1072,2933,0.27
603,1067,2966,0.27
604,1073,2943,0.13
605,1067,2940,0.27
606,1071,2918,0.27
607,1066,2925,0.27
608,1070,2985,0.27
609,1071,2994,0.27
610,1063,3011,0.27
611,1066,2979,0.27
612,1060,2979,0.27
613,1063,2987,0.13
614,1054,2975,0.27
615,1055,2990,0.27
616,1047,2977,0.27
617,1062,2989,0.27
618,1058,2985,0.27
619,1057,2991,0.27
620,1045,2989,0.27
621,1059,2993,0.13
622,1065,3010,0.27
623,1061,3023,0.27
624,1047,3034,0.27
625,1051,3024,0.27
626,1044,3034,0.13
627,1049,3039,0.27
628,1041,3009,0.27
629,1045,2946,0.27
630,1038,2928,0.13
631,1058,3000,0.27
632,1051,2989,0.27
633,1053,2991,0.27
634,1050,2999,0.13
635,1051,2975,0.27
636,1037,2950,0.13
637,1040,2951,0.27
638,1039,2949,0.13
639,1023,2933,0.27
640,1038,2940,0.13
641,1040,2951,0.27
642,1043,2951,0.13
643,1040,2934,0.27
644,1040,2752,0.27
645,1047,2737,0.13
646,1045,2718,0.27
647,1021,2704,0.27
648,1023,2704,0.27
649,1023,2715,0.13
650,1037,2718,0.27
651,1022,2715,0.27
652,1023,2710,0.27
653,1039,2714,0.27
654,1036,2710,0.27
655,1039,2705,0.27
656,1033,2710,0.27
657,1023,2687,0.27
658,1021,2708,0.27
659,1019,2706,0.27
660,1023,2714,0.27
661,1021,2714,0.27
662,1019,2704,0.27
663,1023,2736,0.27
664,1023,2740,0.27
665,1015,2731,0.27
666,1022,2737,0.27
667,1015,2738,0.27
668,1011,2736,0.27
669,1010,2737,0.27
670,1008,2742,0.27
671,1014,2734,0.27
672,1013,2736,0.27
673,1021,2733,0.40
674,1019,2739,0.27
675,1023,2736,0.27
676,1018,2746,0.13
677,1011,2749,0.40
678,1011,2746,0.27
679,1008,2741,0.27
680,1023,2744,0.27
681,1017,2738,0.27
682,1010,2737,0.27
683,1010,2747,0.27
684,1019,2750,0.27
685,1004,2739,0.27
686,1006,2752,0.27
687,1007,2757,0.27
688,1012,2744,0.27
689,1007,2738,0.27
690,1003,2746,0.27
691,999,2743,0.27
692,997,2761,0.27
693,1001,2738,0.27
694,1002,2723,0.27
695,997,2743,0.27
696,993,2719,0.27
697,1007,2715,0.27
698,994,2680,0.27
699,999,2663,0.27
700,991,2559,0.27
701,993,2549,0.27
702,995,2524,0.27
703,992,2481,0.27
704,995,2480,0.27
705,993,2475,0.27
706,996,2477,0.27
707,991,2463,0.27
708,999,2473,0.27
709,992,2448,0.27
710,993,2460,0.27
711,991,2454,0.27
712,989,2446,0.40
713,991,2437,0.27
714,976,2444,0.27
715,985,2431,0.27
716,985,2431,0.27
717,979,2428,0.27
718,982,2413,0.27
719,987,2414,0.27
720,983,2411,0.27
721,987,2419,0.27
722,983,2419,0.27
723,993,2416,0.27
724,993,2459,0.27
725,969,2430,0.27
726,957,2410,0.27
727,962,2447,0.27
728,954,2432,0.27
729,949,2421,0.27
730,960,2429,0.27
731,944,2895,0.40
732,954,2959,0.27
733,960,2991,0.27
734,958,2992,0.27
735,947,3002,0.27
736,955,3007,0.27
737,947,3027,0.27
738,944,3012,0.27
739,944,3025,0.27
740,951,3007,0.27
741,951,3024,0.27
742,944,3024,0.40
743,946,3024,0.27
744,944,3024,0.27
745,938,3022,0.27
746,929,3027,0.27
747,931,3027,0.27
748,927,3024,0.27
749,928,3031,0.27
750,933,3038,0.27
751,933,3017,0.27
752,933,2998,0.27
753,924,2985,0.27
754,922,2971,0.27
755,933,2992,0.27
756,927,2985,0.27
757,915,2985,0.40
758,915,2972,0.13
759,929,2987,0.27
760,927,2998,0.27
761,914,2995,0.27
762,915,2988,0.27
763,919,2992,0.27
764,912,3007,0.27
765,914,3011,0.27
766,921,2990,0.27
767,919,2992,0.27
768,912,2996,0.27
769,918,2992,0.27
770,925,2998,0.27
771,918,3013,0.27
772,919,3015,0.27
773,915,3056,0.13
774,912,3041,0.27
775,914,3041,0.27
776,912,3088,0.27
777,908,3071,0.27
778,914,3063,0.27
779,907,3025,0.27
780,909,3029,0.27
781,906,3026,0.13
782,903,3040,0.27
783,912,3031,0.27
784,912,3024,0.27
785,910,3025,0.27
786,912,3023,0.27
787,903,3024,0.27
788,897,3019,0.13
789,899,3009,0.27
790,910,3002,0.27
791,894,3002,0.27
792,897,3006,0.27
793,893,2994,0.27
794,893,2974,0.27
795,887,2959,0.27
796,897,2963,0.27
797,896,2269,0.13
798,900,3109,0.27
799,910,3131,0.27
800,898,3111,0.27
801,894,3123,0.27
802,893,3131,0.27
803,890,3120,0.27
804,884,3121,0.27
805,889,3120,0.27
806,893,3124,0.13
807,894,3117,0.27
808,886,3119,0.27
809,898,3122,0.27
810,889,3122,0.27
811,887,3120,0.27
812,887,3127,0.13
813,896,3125,0.27
814,884,3123,0.27
815,886,3131,0.27
816,910,3123,0.27
817,882,3121,0.27
818,879,3126,0.27
819,870,3137,0.13
820,880,3107,0.27
821,873,3136,0.27
822,880,3122,0.27
823,889,3125,0.27
824,890,3106,0.13
825,885,3124,0.27
826,875,3104,0.13
827,880,3109,0.13
828,883,3131,0.13
829,873,3123,0.13
830,863,3138,0.13
831,871,3134,0.13
832,855,3131,0.27
833,870,3125,0.13
834,879,3114,0.13
835,873,2277,0.13
836,862,2229,0.27
837,850,2184,0.13
838,869,2147,0.13
839,870,2151,0.27
840,877,2146,0.13
841,871,2159,0.27
842,878,2160,0.13
843,864,2175,0.27
844,864,2213,0.13
845,863,2240,0.27
846,856,2158,0.27
847,862,2161,0.27
848,863,2173,0.13
849,854,2173,0.27
850,864,2192,0.27
851,865,2288,0.13
852,870,2250,0.27
853,859,2291,0.27
854,870,2155,0.27
855,862,2307,0.13
856,861,2158,0.27
857,869,2185,0.13
858,856,2176,0.27
859,867,2186,0.27
860,862,2186,0.13
861,854,2202,0.27
862,855,2218,0.13
863,866,2209,0.27
864,842,2208,0.13
865,864,2225,0.27
866,859,2221,0.13
867,869,2227,0.13
868,862,2246,0.13
869,851,2253,0.13
870,848,2384,0.13
871,845,2394,0.13
872,845,2400,0.13
873,861,2415,0.13
874,839,2394,0.27
875,849,2383,0.13
876,853,2390,0.13
877,854,2389,0.27
878,845,2377,0.27
879,859,2384,0.13
880,848,2385,0.27
881,849,2369,0.27
882,835,2384,0.27
883,847,2199,0.27
884,847,2449,0.27
885,845,2657,0.13
